movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
Jack the Giant Slayer,Jack the Giant Slayer,"Adventure,Fantasy",nm0001741,195000000.0,65187603.0,197687603.0,2013,Mar
Star Trek Into Darkness,Star Trek Into Darkness,"Action,Adventure,Sci-Fi",nm0009190,190000000.0,228778661.0,467381584.0,2013,May
World War Z,World War Z,"Action,Adventure,Horror",nm0286975,190000000.0,202359711.0,531514650.0,2013,Jun
The Great Gatsby,The Great Gatsby,"Drama,Romance",nm0525303,190000000.0,144840419.0,351040419.0,2013,May
Pacific Rim,Pacific Rim,"Action,Adventure,Sci-Fi",nm0868219,190000000.0,101802906.0,411002906.0,2013,Jul
The Good Dinosaur,The Good Dinosaur,"Adventure,Animation,Comedy",nm0812307,187500000.0,123087120.0,333771037.0,2015,Nov
Brave,Brave,"Adventure,Animation,Comedy","nm0152312,nm0700760,nm0028764",185000000.0,237282182.0,554606532.0,2012,Jun
Brave,Brave,Drama,nm8061993,185000000.0,237282182.0,554606532.0,2012,Jun
Kong: Skull Island,Kong: Skull Island,"Action,Adventure,Fantasy",nm3611349,185000000.0,168052812.0,561072059.0,2017,Mar
Star Trek Beyond,Star Trek Beyond,"Action,Adventure,Sci-Fi",nm0510912,185000000.0,158848340.0,335802233.0,2016,Jul
Blade Runner 2049,Blade Runner 2049,"Drama,Mystery,Sci-Fi",nm0898288,185000000.0,92054159.0,259357408.0,2017,Oct
Aladdin,Aladdin,"Adventure,Comedy,Family",nm0005363,182000000.0,246734314.0,619234314.0,2019,May
Aladdin,Aladdin,Fantasy,nm1019776,182000000.0,246734314.0,619234314.0,2019,May
Thor: Ragnarok,Thor: Ragnarok,"Action,Adventure,Comedy",nm0169806,180000000.0,315058289.0,846980024.0,2017,Nov
Maleficent,Maleficent,"Action,Adventure,Family",nm0834902,180000000.0,241407328.0,758536735.0,2014,May
Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",nm0946734,180000000.0,234037575.0,802402853.0,2016,Nov
The Legend of Tarzan,The Legend of Tarzan,"Action,Adventure,Drama",nm0946734,180000000.0,126643061.0,348902025.0,2016,Jul
Hugo,Hugo,"Adventure,Drama,Family",nm0000217,180000000.0,73864507.0,180047784.0,2011,Nov
Hugo,Hugo,Documentary,nm6972547,180000000.0,73864507.0,180047784.0,2011,Nov
Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,"Action,Adventure,Fantasy",nm0000108,180000000.0,40479370.0,215098356.0,2017,Jul
Jupiter Ascending,Jupiter Ascending,"Action,Adventure,Sci-Fi","nm0905152,nm0905154",179000000.0,47482519.0,181982519.0,2015,Feb
X-Men: Apocalypse,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",nm0001741,178000000.0,155442489.0,542537546.0,2016,May
The Meg,The Meg,"Action,Horror,Sci-Fi",nm0005509,178000000.0,145443742.0,529530715.0,2018,Aug
Edge of Tomorrow,Edge of Tomorrow,"Action,Sci-Fi",nm0510731,178000000.0,100206256.0,370541256.0,2014,Jun
Captain Marvel,Captain Marvel,"Action,Adventure,Sci-Fi","nm0281396,nm1349818",175000000.0,426525952.0,1123061550.0,2019,Mar
The Jungle Book,The Jungle Book,"Adventure,Drama,Family",nm0269463,175000000.0,364001123.0,962854547.0,2016,Apr
The Jungle Book,The Jungle Book,Animation,"nm0266255,nm0425557",175000000.0,364001123.0,962854547.0,2016,Apr
Inside Out,Inside Out,"Adventure,Animation,Comedy","nm0230032,nm0215455",175000000.0,356461711.0,854235992.0,2015,Jun
Inside Out,Inside Out,"Biography,Documentary,History",nm3322414,175000000.0,356461711.0,854235992.0,2015,Jun
Inside Out,Inside Out,"Crime,Drama",nm0541703,175000000.0,356461711.0,854235992.0,2015,Jun
Inside Out,Inside Out,Drama,nm3034358,175000000.0,356461711.0,854235992.0,2015,Jun
Inside Out,Inside Out,Family,,175000000.0,356461711.0,854235992.0,2015,Jun
Spider-Man: Homecoming,Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",nm1218281,175000000.0,334201140.0,880166350.0,2017,Jul
Suicide Squad,Suicide Squad,"Action,Adventure,Fantasy",nm0043742,175000000.0,325100054.0,746059887.0,2016,Aug
Coco,Coco,"Adventure,Animation,Comedy","nm0881279,nm2937122",175000000.0,209726015.0,798008101.0,2017,Nov
Coco,Coco,Horror,nm9039216,175000000.0,209726015.0,798008101.0,2017,Nov
Cars 3,Cars 3,"Adventure,Animation,Comedy",nm0270263,175000000.0,152901115.0,383541369.0,2017,Jun
King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,"Action,Adventure,Drama",nm0005363,175000000.0,39175066.0,139630336.0,2017,May
47 Ronin,47 Ronin,"Action,Adventure,Drama",nm0727754,175000000.0,38362475.0,151716815.0,2013,Dec
Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",nm1291105,170000000.0,417719760.0,1305772799.0,2018,Jun
Guardians of the Galaxy,Guardians of the Galaxy,"Action,Adventure,Comedy",nm0348181,170000000.0,333172112.0,770867516.0,2014,Aug
Iron Man 2,Iron Man 2,"Action,Adventure,Sci-Fi",nm0269463,170000000.0,312433331.0,621156389.0,2010,May
Captain America: The Winter Soldier,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi","nm0751577,nm0751648",170000000.0,259746958.0,714401889.0,2014,Apr
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,"Action,Adventure,Drama",nm0716257,170000000.0,208545589.0,710644566.0,2014,Jul
Snow White and the Huntsman,Snow White and the Huntsman,"Action,Adventure,Drama",nm2782185,170000000.0,155136755.0,401021746.0,2012,Jun
Dumbo,Dumbo,"Adventure,Family,Fantasy",nm0000318,170000000.0,113883318.0,345004422.0,2019,Mar
Tomorrowland,Tomorrowland,"Action,Adventure,Family",nm0083348,170000000.0,93436322.0,206627518.0,2015,May
Tomorrowland,Tomorrowland,Documentary,nm7032637,170000000.0,93436322.0,206627518.0,2015,May
Alita: Battle Angel,Alita: Battle Angel,"Action,Adventure,Sci-Fi",nm0001675,170000000.0,85710210.0,402976036.0,2019,Feb
Godzilla: King of the Monsters,Godzilla: King of the Monsters,"Action,Adventure,Fantasy",nm1002424,170000000.0,85576941.0,299276941.0,2019,May
Alice Through the Looking Glass,Alice Through the Looking Glass,"Adventure,Family,Fantasy",nm0090386,170000000.0,77042381.0,276928112.0,2016,May
Shrek Forever After,Shrek Forever After,"Adventure,Animation,Comedy",nm0593610,165000000.0,238736787.0,756244673.0,2010,May
