movie,original_title,genres,directors,production_budget,domestic_gross,worldwide_gross,TN_year,TN_month
Fifty Shades Freed,Fifty Shades Freed,"Drama,Romance,Thriller",nm0001226,55000000.0,100407760.0,371350619.0,2018,Feb
Date Night,Date Night,"Comedy,Crime,Romance",nm0506613,55000000.0,98711404.0,152269033.0,2010,Apr
Paddington,Paddington,"Adventure,Comedy,Family",nm1653753,55000000.0,76223578.0,258789097.0,2015,Jan
Free Birds,Free Birds,"Adventure,Animation,Comedy",nm0371755,55000000.0,55750480.0,110387072.0,2013,Nov
Muppets Most Wanted,Muppets Most Wanted,"Adventure,Comedy,Crime",nm0090386,55000000.0,51178893.0,79312301.0,2014,Mar
Kubo and the Two Strings,Kubo and the Two Strings,"Action,Adventure,Animation",nm1325899,55000000.0,48023088.0,77548122.0,2016,Aug
Burlesque,Burlesque,Drama,nm3313266,55000000.0,39440655.0,90552675.0,2010,Nov
Burlesque,Burlesque,"Drama,Music,Musical",nm0031078,55000000.0,39440655.0,90552675.0,2010,Nov
The Watch,The Watch,"Action,Comedy,Horror",nm1676223,55000000.0,34353000.0,67130045.0,2012,Jul
Annihilation,Annihilation,"Adventure,Drama,Horror",nm0307497,55000000.0,32732301.0,43070915.0,2018,Feb
Crimson Peak,Crimson Peak,"Drama,Fantasy,Horror",nm0868219,55000000.0,31090320.0,74966854.0,2015,Oct
Bullet to the Head,Bullet to the Head,"Action,Crime,Thriller",nm0001353,55000000.0,9489829.0,22597969.0,2013,Feb
Black Mass,Black Mass,"Biography,Crime,Drama",nm0178376,53000000.0,62575678.0,98837872.0,2015,Sep
Zero Dark Thirty,Zero Dark Thirty,"Drama,Thriller",nm0000941,52500000.0,95720716.0,134612435.0,2012,Dec
Valentine's Day,Valentine's Day,"Comedy,Romance",nm0005190,52000000.0,110485654.0,217569328.0,2010,Feb
The Change-Up,The Change-Up,"Comedy,Fantasy",nm0229694,52000000.0,37243418.0,75997067.0,2011,Aug
Alpha,Alpha,"Adventure,Drama,Family",nm0400436,51000000.0,35851379.0,99624873.0,2018,Aug
Alpha,Alpha,Crime,nm1304568,51000000.0,35851379.0,99624873.0,2018,Aug
Alpha,Alpha,"Crime,Drama,Fantasy",nm8629556,51000000.0,35851379.0,99624873.0,2018,Aug
Alpha,Alpha,"Drama,Horror,Mystery",nm3336924,51000000.0,35851379.0,99624873.0,2018,Aug
The Adjustment Bureau,The Adjustment Bureau,"Romance,Sci-Fi,Thriller",nm1079776,50200000.0,62495645.0,126931325.0,2011,Mar
Ted,Ted,"Comedy,Fantasy",nm0532235,50000000.0,218665740.0,556016627.0,2012,Jun
22 Jump Street,22 Jump Street,"Action,Comedy,Crime","nm0588087,nm0520488",50000000.0,191719337.0,331333876.0,2014,Jun
Central Intelligence,Central Intelligence,"Action,Comedy,Crime",nm1098493,50000000.0,127440871.0,217194805.0,2016,Jun
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,Comedy,nm0570912,50000000.0,127352707.0,172185754.0,2013,Dec
Super 8,Super 8,"Mystery,Sci-Fi,Thriller",nm0009190,50000000.0,127004179.0,257972745.0,2011,Jun
Creed II,Creed II,"Drama,Sport",nm4023702,50000000.0,115715889.0,213591522.0,2018,Nov
Peter Rabbit,Peter Rabbit,"Adventure,Animation,Comedy",nm0323239,50000000.0,115234093.0,347136477.0,2018,Feb
The Mule,The Mule,"Comedy,Crime,Drama","nm0537211,nm0760151",50000000.0,103804407.0,170857676.0,2018,Dec
The Mule,The Mule,"Crime,Drama,Mystery",nm0846590,50000000.0,103804407.0,170857676.0,2018,Dec
The Mule,The Mule,"Crime,Drama,Thriller",nm0000142,50000000.0,103804407.0,170857676.0,2018,Dec
Non-Stop,Non-Stop,"Action,Mystery,Thriller",nm1429471,50000000.0,91742160.0,222383055.0,2014,Feb
The Emoji Movie,The Emoji Movie,"Adventure,Animation,Comedy",nm1902232,50000000.0,86089513.0,216562312.0,2017,Jul
The Post,The Post,"Biography,Drama,History",nm0000229,50000000.0,81903458.0,179748880.0,2017,Dec
We Bought a Zoo,We Bought a Zoo,"Comedy,Drama,Family",nm0001081,50000000.0,75624550.0,118729073.0,2011,Dec
Moneyball,Moneyball,"Biography,Drama,Sport",nm0587955,50000000.0,75605492.0,111300835.0,2011,Sep
American Reunion,American Reunion,Comedy,"nm1375358,nm1376383",50000000.0,56758835.0,236799211.0,2012,Apr
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,"Action,Fantasy,Horror",nm2482088,50000000.0,55703475.0,214949716.0,2013,Jan
American Made,American Made,"Action,Biography,Comedy",nm0510731,50000000.0,51342000.0,135569212.0,2017,Sep
The Book of Life,The Book of Life,"Adventure,Animation,Comedy",nm1509613,50000000.0,50151543.0,97651543.0,2014,Oct
The Book of Life,The Book of Life,Family,nm5497315,50000000.0,50151543.0,97651543.0,2014,Oct
The Book of Life,The Book of Life,Thriller,nm3060204,50000000.0,50151543.0,97651543.0,2014,Oct
Into the Storm,Into the Storm,"Action,Adventure,Drama",nm0702797,50000000.0,47602194.0,150429371.0,2014,Aug
Into the Storm,Into the Storm,Documentary,nm10748353,50000000.0,47602194.0,150429371.0,2014,Aug
The Judge,The Judge,"Crime,Drama",nm0229694,50000000.0,47119388.0,76119388.0,2014,Oct
The Judge,The Judge,Documentary,nm2311689,50000000.0,47119388.0,76119388.0,2014,Oct
War Dogs,War Dogs,"Comedy,Crime,Drama",nm0680846,50000000.0,43034523.0,86234503.0,2016,Aug
The Nice Guys,The Nice Guys,"Action,Comedy,Crime",nm0000948,50000000.0,36261763.0,59596747.0,2016,May
Marmaduke,Marmaduke,"Comedy,Family",nm0223359,50000000.0,33644788.0,89895930.0,2010,Jun
Hereafter,Hereafter,"Drama,Fantasy,Romance",nm0000142,50000000.0,32746941.0,108660270.0,2010,Oct
Zoolander 2,Zoolander 2,Comedy,nm0001774,50000000.0,28848693.0,55348693.0,2016,Feb
The Host,The Host,"Action,Adventure,Drama",nm0629272,50000000.0,26623701.0,64477051.0,2013,Mar
The Host,The Host,Documentary,nm1656211,50000000.0,26623701.0,64477051.0,2013,Mar
Run All Night,Run All Night,"Action,Drama,Thriller",nm1429471,50000000.0,26461644.0,66961644.0,2015,Mar
Hellboy,Hellboy,"Action,Adventure,Fantasy",nm0551076,50000000.0,21903748.0,40725492.0,2019,Apr
Your Highness,Your Highness,"Adventure,Comedy,Fantasy",nm0337773,50000000.0,21596445.0,26121638.0,2011,Apr
Snowden,Snowden,"Biography,Drama,Thriller",nm0000231,50000000.0,21587519.0,35380918.0,2016,Sep
Dream House,Dream House,"Comedy,Drama,Romance",nm0069860,50000000.0,21302340.0,41642166.0,2011,Sep
Dream House,Dream House,"Drama,Mystery,Thriller",nm0006487,50000000.0,21302340.0,41642166.0,2011,Sep
Free State of Jones,Free State of Jones,"Action,Biography,Drama",nm0002657,50000000.0,20810036.0,23237252.0,2016,Jun
Beautiful Creatures,Beautiful Creatures,"Drama,Fantasy,Romance",nm0481418,50000000.0,19452138.0,60282876.0,2013,Feb
Drive Angry,Drive Angry,"Action,Fantasy,Thriller",nm0527261,50000000.0,10721033.0,41042583.0,2011,Feb
Early Man,Early Man,"Adventure,Animation,Comedy",nm0661910,50000000.0,8267544.0,45285890.0,2018,Feb
Child 44,Child 44,"Crime,Drama,History",nm1174251,50000000.0,1224330.0,8004221.0,2015,Apr
Upside Down,Upside Down,"Biography,Documentary,Family",nm7647542,50000000.0,102118.0,26387039.0,2013,Mar
Upside Down,Upside Down,Comedy,nm9831006,50000000.0,102118.0,26387039.0,2013,Mar
Upside Down,Upside Down,Documentary,nm6004519,50000000.0,102118.0,26387039.0,2013,Mar
Upside Down,Upside Down,Drama,nm0792018,50000000.0,102118.0,26387039.0,2013,Mar
Upside Down,Upside Down,Drama,nm3675099,50000000.0,102118.0,26387039.0,2013,Mar
Upside Down,Upside Down,"Drama,Fantasy,Romance",nm0812626,50000000.0,102118.0,26387039.0,2013,Mar
Shanghai,Shanghai,"Crime,Drama,Mystery",nm0405632,50000000.0,46425.0,15505922.0,2015,Oct
Shanghai,Shanghai,"Crime,Mystery,Thriller",nm1962313,50000000.0,46425.0,15505922.0,2015,Oct
Shanghai,Shanghai,Drama,,50000000.0,46425.0,15505922.0,2015,Oct
Chappie,Chappie,"Action,Crime,Drama",nm0088955,49000000.0,31569268.0,105002056.0,2015,Mar
Anna Karenina,Anna Karenina,"Drama,Romance",nm0942504,49000000.0,12816367.0,71004627.0,2012,Nov
Taken 3,Taken 3,"Action,Thriller",nm0576298,48000000.0,89256424.0,327656424.0,2015,Jan
Instant Family,Instant Family,"Comedy,Drama",nm1890845,48000000.0,67363237.0,119736188.0,2018,Nov
Tooth Fairy,Tooth Fairy,"Comedy,Family,Fantasy",nm0501185,48000000.0,60022256.0,112610386.0,2010,Jan
The Infiltrator,The Infiltrator,"Biography,Crime,Drama",nm1026778,47500000.0,15436808.0,20718104.0,2016,Jul
Arrival,Arrival,Documentary,nm4163265,47000000.0,100546139.0,203127894.0,2016,Nov
Arrival,Arrival,"Drama,Mystery,Sci-Fi",nm0898288,47000000.0,100546139.0,203127894.0,2016,Nov
Jonah Hex,Jonah Hex,"Action,Drama,Fantasy",nm0371755,47000000.0,10547117.0,11022696.0,2010,Jun
Silence,Silence,"Adventure,Drama,History",nm0000217,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,"Biography,Documentary",nm2442604,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Drama,nm0104150,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Drama,nm2919747,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Drama,nm4013198,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Drama,nm8598959,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,"Drama,Thriller",nm1335378,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Thriller,nm4538874,46500000.0,7100177.0,23726626.0,2016,Dec
Silence,Silence,Thriller,nm5095614,46500000.0,7100177.0,23726626.0,2016,Dec
Prisoners,Prisoners,"Crime,Drama,Mystery",nm0898288,46000000.0,61002302.0,113402302.0,2013,Sep
Taken 2,Taken 2,"Action,Thriller",nm0576298,45000000.0,139854287.0,377807404.0,2012,Oct
Pitch Perfect 3,Pitch Perfect 3,"Comedy,Music",nm2586324,45000000.0,104897530.0,185736412.0,2017,Dec
The Muppets,The Muppets,"Adventure,Comedy,Family",nm0090386,45000000.0,88625922.0,160971922.0,2011,Nov
The Girl on the Train,The Girl on the Train,"Crime,Drama,Mystery",nm0853238,45000000.0,75395035.0,174278214.0,2016,Oct
The Girl on the Train,The Girl on the Train,"Horror,Mystery,Thriller",nm10483947,45000000.0,75395035.0,174278214.0,2016,Oct
The Girl on the Train,The Girl on the Train,Thriller,nm0104487,45000000.0,75395035.0,174278214.0,2016,Oct
The Bounty Hunter,The Bounty Hunter,"Action,Comedy,Romance",nm0855035,45000000.0,67061228.0,135808837.0,2010,Mar
Office Christmas Party,Office Christmas Party,Comedy,"nm0330347,nm0817447",45000000.0,54767494.0,91323299.0,2016,Dec
Savages,Savages,"Crime,Drama,Thriller",nm0000231,45000000.0,47323100.0,82513490.0,2012,Jul
Blended,Blended,"Comedy,Romance",nm0178997,45000000.0,46290741.0,127990741.0,2014,May
All Eyez on Me,All Eyez on Me,"Biography,Drama,Music",nm1534600,45000000.0,44922302.0,54876855.0,2017,Jun
UglyDolls,UglyDolls,"Adventure,Animation,Comedy",nm0038432,45000000.0,19894664.0,24644664.0,2019,May
The Ghost Writer,The Ghost Writer,"Drama,Mystery,Thriller",nm0000591,45000000.0,15541549.0,65532491.0,2010,Feb
Dredd,Dredd,"Action,Crime,Sci-Fi",nm0871428,45000000.0,13414714.0,41467606.0,2012,Sep
The Rum Diary,The Rum Diary,"Comedy,Drama",nm0732430,45000000.0,13109815.0,21544732.0,2011,Oct
Welcome to Marwen,Welcome to Marwen,"Biography,Comedy,Drama",nm0000709,45000000.0,10763520.0,12874922.0,2018,Dec
Johnny English Reborn,Johnny English Reborn,"Action,Adventure,Comedy",nm0662529,45000000.0,8406711.0,164640401.0,2011,Oct
Argo,Argo,"Biography,Drama,Thriller",nm0000255,44500000.0,136025503.0,227140757.0,2012,Oct
Charlie St. Cloud,Charlie St. Cloud,"Drama,Fantasy,Romance",nm0824882,44000000.0,31206263.0,48478084.0,2010,Jul
The Interview,The Interview,Comedy,"nm1698571,nm0736622",44000000.0,6105175.0,12342632.0,2014,Feb
The Interview,The Interview,Documentary,nm9280771,44000000.0,6105175.0,12342632.0,2014,Feb
The Interview,The Interview,Drama,nm4774864,44000000.0,6105175.0,12342632.0,2014,Feb
The Interview,The Interview,"Horror,Mystery,Thriller",nm5395142,44000000.0,6105175.0,12342632.0,2014,Feb
The Heat,The Heat,"Action,Comedy,Crime",nm0082450,43000000.0,159581587.0,229727774.0,2013,Jun
A Monster Calls,A Monster Calls,"Animation,Drama,Fantasy",nm1291105,43000000.0,3740823.0,46414530.0,2017,Jan
The Mechanic,The Mechanic,"Action,Crime,Thriller",nm0922346,42500000.0,29121498.0,76347393.0,2011,Jan
21 Jump Street,21 Jump Street,"Action,Comedy,Crime","nm0588087,nm0520488",42000000.0,138447667.0,202812429.0,2012,Mar
Snatched,Snatched,"Action,Adventure,Comedy",nm1349522,42000000.0,45852178.0,57852177.0,2017,May
Snatched,Snatched,Comedy,nm0127935,42000000.0,45852178.0,57852177.0,2017,May
Snatched,Snatched,Drama,nm10566844,42000000.0,45852178.0,57852177.0,2017,May
Snatched,Snatched,"Drama,Horror,Mystery","nm4569633,nm4568861",42000000.0,45852178.0,57852177.0,2017,May
Snatched,Snatched,Thriller,nm2815884,42000000.0,45852178.0,57852177.0,2017,May
Here Comes the Boom,Here Comes the Boom,"Action,Comedy,Sport",nm0178997,42000000.0,45290318.0,73239258.0,2012,Oct
Red Riding Hood,Red Riding Hood,"Fantasy,Horror,Mystery",nm0362566,42000000.0,37662162.0,91678442.0,2011,Mar
Holmes & Watson,Holmes & Watson,"Adventure,Comedy,Crime",nm1000113,42000000.0,30568743.0,41926605.0,2018,Dec
One for the Money,One for the Money,"Action,Comedy,Crime",nm1455688,42000000.0,26414527.0,36197221.0,2012,Jan
Man on a Ledge,Man on a Ledge,"Action,Adventure,Crime",nm1300606,42000000.0,18620000.0,49621440.0,2012,Jan
The Warrior's Way,The Warrior's Way,"Action,Fantasy,Western",nm2788363,42000000.0,5666340.0,8514325.0,2010,Dec
Rocketman,Rocketman,"Biography,Drama,Music",nm0002077,41000000.0,57342725.0,108642725.0,2019,May
The Big Year,The Big Year,Comedy,nm0291205,41000000.0,7204138.0,7684524.0,2011,Oct
The Karate Kid,The Karate Kid,"Action,Drama,Family",nm0958969,40000000.0,176591618.0,351774938.0,2010,Jun
Fifty Shades of Grey,Fifty Shades of Grey,"Drama,Romance,Thriller",nm0853374,40000000.0,166167230.0,570998101.0,2015,Feb
American Hustle,American Hustle,"Crime,Drama",nm0751102,40000000.0,150117807.0,257878294.0,2013,Dec
Lucy,Lucy,"Action,Sci-Fi,Thriller",nm0000108,40000000.0,126573960.0,457507776.0,2014,Jul
Lucy,Lucy,"Animation,Documentary",nm3440368,40000000.0,126573960.0,457507776.0,2014,Jul
Lucy,Lucy,Documentary,nm8504594,40000000.0,126573960.0,457507776.0,2014,Jul
Lone Survivor,Lone Survivor,"Action,Biography,Drama",nm0000916,40000000.0,125095601.0,149804632.0,2013,Dec
The Social Network,The Social Network,"Biography,Drama",nm0000399,40000000.0,96962694.0,224922135.0,2010,Oct
Ride Along 2,Ride Along 2,"Action,Comedy,Crime",nm1103162,40000000.0,90862685.0,124827316.0,2016,Jan
Get Hard,Get Hard,Comedy,nm9958933,40000000.0,90411453.0,106511453.0,2015,Mar
Get Hard,Get Hard,"Comedy,Crime",nm1000113,40000000.0,90411453.0,106511453.0,2015,Mar
The Accountant,The Accountant,"Action,Crime,Drama",nm0640334,40000000.0,86260045.0,152962083.0,2016,Oct
Dumb and Dumber To,Dumb and Dumber To,"Adventure,Comedy","nm0268380,nm0268370",40000000.0,86208010.0,156553592.0,2014,Nov
The Other Woman,The Other Woman,"Comedy,Romance",nm0001024,40000000.0,83911193.0,195111193.0,2014,Apr
The Intern,The Intern,"Comedy,Drama",nm0583600,40000000.0,75764672.0,197115710.0,2015,Sep
Bridge of Spies,Bridge of Spies,"Drama,History,Thriller",nm0000229,40000000.0,72313754.0,162498338.0,2015,Oct
Hacksaw Ridge,Hacksaw Ridge,"Biography,Drama,History",nm0000154,40000000.0,67209615.0,168904682.0,2016,Nov
Unknown,Unknown,"Action,Mystery,Thriller",nm1429471,40000000.0,63686397.0,136123083.0,2011,Feb
Unknown,Unknown,Drama,nm0261309,40000000.0,63686397.0,136123083.0,2011,Feb
Get Him to the Greek,Get Him to the Greek,"Adventure,Comedy,Music",nm0831557,40000000.0,61153526.0,91455875.0,2010,Jun
The Lincoln Lawyer,The Lincoln Lawyer,"Crime,Drama,Thriller",nm1026778,40000000.0,58009200.0,87145086.0,2011,Mar
Horrible Bosses 2,Horrible Bosses 2,"Comedy,Crime",nm1890845,40000000.0,54445357.0,105945357.0,2014,Nov
Predators,Predators,"Action,Adventure,Sci-Fi",nm0030735,40000000.0,52000688.0,127234389.0,2010,Jul
The Odd Life of Timothy Green,The Odd Life of Timothy Green,"Comedy,Drama,Family",nm0373282,40000000.0,51853450.0,55249159.0,2012,Aug
Jersey Boys,Jersey Boys,"Biography,Drama,Music",nm0000142,40000000.0,47047013.0,65282732.0,2014,Jun
Final Destination 5,Final Destination 5,Horror,nm0702797,40000000.0,42587643.0,155011165.0,2011,Aug
Widows,Widows,Comedy,,40000000.0,42402632.0,73866088.0,2018,Nov
Widows,Widows,"Crime,Drama,Thriller",nm2588606,40000000.0,42402632.0,73866088.0,2018,Nov
Sex Tape,Sex Tape,"Comedy,Romance",nm0440458,40000000.0,38543473.0,126069509.0,2014,Jul
Scream 4,Scream 4,"Horror,Mystery",nm0000127,40000000.0,38180928.0,95989590.0,2011,Apr
Paul,Paul,"Adventure,Comedy,Sci-Fi",nm0609549,40000000.0,37412945.0,101162106.0,2011,Mar
Paul,Paul,Drama,nm0271333,40000000.0,37412945.0,101162106.0,2011,Mar
The Guilt Trip,The Guilt Trip,"Comedy,Drama",nm0281945,40000000.0,37134215.0,41294674.0,2012,Dec
Colombiana,Colombiana,"Action,Drama,Thriller",nm0576298,40000000.0,36665854.0,72295262.0,2011,Aug
The Commuter,The Commuter,"Action,Mystery,Thriller",nm1429471,40000000.0,36343858.0,101985431.0,2018,Jan
Arthur,Arthur,"Comedy,Romance",nm0934864,40000000.0,33035397.0,47787943.0,2011,Apr
Patriots Day,Patriots Day,"Action,Crime,Drama",nm0000916,40000000.0,31886361.0,52837989.0,2016,Dec
Morning Glory,Morning Glory,"Comedy,Drama,Romance",nm0585011,40000000.0,31011732.0,59795070.0,2010,Nov
Long Shot,Long Shot,"Biography,Documentary",,40000000.0,30202860.0,43711031.0,2019,May
Long Shot,Long Shot,"Comedy,Romance",nm1349522,40000000.0,30202860.0,43711031.0,2019,May
Grudge Match,Grudge Match,"Comedy,Drama,Sport",nm0781842,40000000.0,29807260.0,69807260.0,2013,Dec
The Nut Job 2: Nutty by Nature,The Nut Job 2: Nutty by Nature,"Adventure,Animation,Comedy",nm2117510,40000000.0,28370522.0,57438389.0,2017,Aug
Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",nm0027271,40000000.0,26844692.0,314101190.0,2017,Jan
The House,The House,"Comedy,Crime",nm1157527,40000000.0,25584504.0,31192425.0,2017,Jun
The House,The House,Drama,nm5300729,40000000.0,25584504.0,31192425.0,2017,Jun
The House,The House,"Drama,Mystery,Thriller",nm1615931,40000000.0,25584504.0,31192425.0,2017,Jun
The House,The House,Horror,nm1368546,40000000.0,25584504.0,31192425.0,2017,Jun
The House,The House,Thriller,nm2272704,40000000.0,25584504.0,31192425.0,2017,Jun
Season of the Witch,Season of the Witch,"Action,Adventure,Fantasy",nm0784061,40000000.0,24827228.0,91126600.0,2011,Jan
Mechanic: Resurrection,Mechanic: Resurrection,"Action,Adventure,Thriller",nm0304541,40000000.0,21218403.0,109738840.0,2016,Aug
Big Miracle,Big Miracle,"Biography,Drama,Family",nm0477129,40000000.0,20157300.0,25268680.0,2012,Feb
A Thousand Words,A Thousand Words,"Comedy,Drama",nm0005367,40000000.0,18450127.0,20790486.0,2012,Mar
The Gunman,The Gunman,"Action,Crime,Drama",nm0603628,40000000.0,10664749.0,18594227.0,2015,Mar
The Gunman,The Gunman,Western,nm0896139,40000000.0,10664749.0,18594227.0,2015,Mar
Paranoia,Paranoia,Drama,nm9794541,40000000.0,7388654.0,16340767.0,2013,Aug
Paranoia,Paranoia,"Drama,Thriller",nm0525659,40000000.0,7388654.0,16340767.0,2013,Aug
Paranoia,Paranoia,Horror,nm0849755,40000000.0,7388654.0,16340767.0,2013,Aug
Paranoia,Paranoia,"Horror,Mystery,Thriller",nm8334847,40000000.0,7388654.0,16340767.0,2013,Aug
Paranoia,Paranoia,Thriller,nm1641963,40000000.0,7388654.0,16340767.0,2013,Aug
Paranoia,Paranoia,Thriller,nm8289037,40000000.0,7388654.0,16340767.0,2013,Aug
The Hurricane Heist,The Hurricane Heist,"Action,Adventure,Crime",nm0003418,40000000.0,6115824.0,30963684.0,2018,Mar
Victor Frankenstein,Victor Frankenstein,"Drama,Horror,Sci-Fi",nm0006476,40000000.0,5775076.0,31124367.0,2015,Nov
Snowpiercer,Snowpiercer,"Action,Drama,Sci-Fi",nm0094435,40000000.0,4563029.0,88069880.0,2014,Jun
Frankenweenie,Frankenweenie,"Animation,Comedy,Family",nm0000318,39000000.0,35287788.0,81150788.0,2012,Oct
Yi dai zong shi,Yi dai zong shi,"Action,Biography,Drama",nm0939182,38600000.0,6594959.0,57987299.0,2013,Aug
Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,"Action,Animation,Comedy",nm1659741,38000000.0,73921000.0,126577874.0,2017,Jun
Paul Blart: Mall Cop 2,Paul Blart: Mall Cop 2,"Action,Comedy,Crime",nm0275698,38000000.0,71091594.0,107650646.0,2015,Apr
Why Him?,Why Him?,Comedy,nm0357453,38000000.0,60323786.0,117425156.0,2016,Dec
Water for Elephants,Water for Elephants,"Drama,Romance",nm1349376,38000000.0,58709717.0,116809717.0,2011,Apr
Life as We Know It,Life as We Know It,Comedy,nm7560837,38000000.0,53374681.0,105887837.0,2010,Oct
Life as We Know It,Life as We Know It,"Comedy,Drama,Romance",nm0075528,38000000.0,53374681.0,105887837.0,2010,Oct
Riddick,Riddick,"Action,Adventure,Sci-Fi",nm0878638,38000000.0,42025135.0,94763758.0,2013,Sep
The 5th Wave,The 5th Wave,"Action,Adventure,Drama",nm2128335,38000000.0,34912982.0,111336398.0,2016,Jan
Rush,Rush,"Action,Biography,Drama",nm0000165,38000000.0,26947624.0,98230839.0,2013,Sep
Rush,Rush,"Action,Documentary",nm2502502,38000000.0,26947624.0,98230839.0,2013,Sep
Rush,Rush,"Comedy,Romance","nm3992849,nm3996971",38000000.0,26947624.0,98230839.0,2013,Sep
Rush,Rush,"Crime,Thriller",nm5151261,38000000.0,26947624.0,98230839.0,2013,Sep
Rush,Rush,"Documentary,News",nm7496280,38000000.0,26947624.0,98230839.0,2013,Sep
Only the Brave,Only the Brave,"Action,Biography,Drama",nm2676052,38000000.0,18340051.0,24555177.0,2017,Oct
The Thing,The Thing,Documentary,nm0899872,38000000.0,16999934.0,27573078.0,2011,Oct
The Thing,The Thing,"Horror,Mystery,Sci-Fi",nm0374048,38000000.0,16999934.0,27573078.0,2011,Oct
The Upside,The Upside,"Comedy,Drama",nm1139726,37500000.0,108235497.0,119024536.0,2019,Jan
What to Expect When You're Expecting,What to Expect When You're Expecting,"Comedy,Drama,Romance",nm0428600,37500000.0,41152203.0,88473016.0,2012,May
The Master,The Master,"Action,History",nm6971554,37500000.0,16247159.0,50647416.0,2012,Sep
The Master,The Master,Documentary,nm3849565,37500000.0,16247159.0,50647416.0,2012,Sep
The Master,The Master,Documentary,nm7395580,37500000.0,16247159.0,50647416.0,2012,Sep
The Master,The Master,Drama,nm0000759,37500000.0,16247159.0,50647416.0,2012,Sep
We're the Millers,We're the Millers,"Comedy,Crime",nm1098493,37000000.0,150394119.0,267816276.0,2013,Aug
Creed,Creed,"Crime,Drama",nm7051489,37000000.0,109767581.0,173567581.0,2015,Nov
Creed,Creed,"Drama,Sport",nm3363032,37000000.0,109767581.0,173567581.0,2015,Nov
Creed,Creed,Horror,"nm1156988,nm0565955",37000000.0,109767581.0,173567581.0,2015,Nov
The Town,The Town,"Crime,Drama,Thriller",nm0000255,37000000.0,92186262.0,152566881.0,2010,Sep
The Town,The Town,Horror,nm8592445,37000000.0,92186262.0,152566881.0,2010,Sep
Dolphin Tale,Dolphin Tale,"Drama,Family",nm0001747,37000000.0,72286779.0,96068724.0,2011,Sep
Game Night,Game Night,"Action,Comedy,Crime","nm0197855,nm0326246",37000000.0,69179066.0,117378084.0,2018,Feb
Game Night,Game Night,Comedy,,37000000.0,69179066.0,117378084.0,2018,Feb
Cop Out,Cop Out,"Action,Comedy,Crime",nm0003620,37000000.0,44875481.0,55909910.0,2010,Feb
The Rite,The Rite,"Drama,Horror,Mystery",nm0405632,37000000.0,33047633.0,97143987.0,2011,Jan
Aloha,Aloha,"Comedy,Drama,Romance",nm0001081,37000000.0,21052030.0,25387091.0,2015,May
Hot Tub Time Machine,Hot Tub Time Machine,"Comedy,Sci-Fi",nm0684336,36000000.0,50269859.0,65967750.0,2010,Mar
Dolphin Tale 2,Dolphin Tale 2,"Drama,Family",nm0001747,36000000.0,42024533.0,57824533.0,2014,Sep
Collateral Beauty,Collateral Beauty,"Drama,Romance",nm0291205,36000000.0,31016021.0,85309093.0,2016,Dec
Yip Man 3,Yip Man 3,"Action,Biography,Drama",nm0948159,36000000.0,2679437.0,157300954.0,2016,Jan
There Be Dragons,There Be Dragons,"Biography,Drama,War",nm0423646,36000000.0,1069334.0,4020990.0,2011,May
It,It,"Horror,Thriller",nm0615592,35000000.0,327481748.0,697457969.0,2017,Sep
True Grit,True Grit,"Adventure,Drama,Western","nm0001053,nm0001054",35000000.0,171243005.0,252276928.0,2010,Dec
Identity Thief,Identity Thief,"Adventure,Comedy,Crime",nm1164861,35000000.0,134506920.0,175361578.0,2013,Feb
Horrible Bosses,Horrible Bosses,"Comedy,Crime",nm1164861,35000000.0,117538559.0,212417601.0,2011,Jul
Trainwreck,Trainwreck,"Comedy,Drama,Romance",nm0031976,35000000.0,110212700.0,141123897.0,2015,Jul
Saving Mr. Banks,Saving Mr. Banks,"Biography,Comedy,Drama",nm0359387,35000000.0,83299761.0,114962525.0,2013,Dec
A Nightmare on Elm Street,A Nightmare on Elm Street,"Crime,Drama,Horror",nm1207904,35000000.0,63075011.0,117729621.0,2010,Apr
Secretariat,Secretariat,"Biography,Drama,Family",nm0908824,35000000.0,59699513.0,60376247.0,2010,Oct
Friends with Benefits,Friends with Benefits,"Comedy,Romance",nm0323239,35000000.0,55802754.0,146595891.0,2011,Jul
Neighbors 2: Sorority Rising,Neighbors 2: Sorority Rising,Comedy,nm0831557,35000000.0,55340730.0,108757621.0,2016,May
Sicario: Day of the Soldado,Sicario: Day of the Soldado,"Action,Crime,Drama",nm1356588,35000000.0,50065850.0,75885196.0,2018,Jun
Poltergeist,Poltergeist,"Horror,Thriller",nm1481493,35000000.0,47425125.0,95713069.0,2015,May
Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,"Adventure,Comedy,Family",nm1847738,35000000.0,46697321.0,93291478.0,2018,Oct
